Libellé Gare	Voyageurs	Commune	Département	coordonnees_geographiques
Borgo	O	Borgo	Haute-Corse	"42.5597863599,9.44616137942"
Rivoli	O	Bastia	Haute-Corse	"42.6801812233,9.44542262225"
Bassanese	O	Bastia	Haute-Corse	"42.6775500066,9.44538693536"
Ponte-Nuovo	O	Castello-di-Rostino	Haute-Corse	"42.4822891808,9.28174531325"
Soveria	O	Soveria	Haute-Corse	"42.3583522157,9.17542399153"
Belgodere	O	Occhiatana	Haute-Corse	"42.5822943604,9.00449567336"
Onzain	O	Onzain	Loir-et-Cher	"47.4918116869,1.18612441159"
Bibliothèque-François-Mitterrand	O	Paris-13	Paris	"48.8289593485,2.3784128296"
Villeneuve-le-Roi	O	Villeneuve-le-Roi	Val-de-Marne	"48.7398849361,2.42640316685"
Ablon	O	Ablon-sur-Seine	Val-de-Marne	"48.7252738907,2.41933986086"
Vitry-sur-Seine	O	Vitry-sur-Seine	Val-de-Marne	"48.800598698,2.40266225237"
St-Ustre	N	Ingrandes	Vienne	"46.8910899914,0.580920784478"
Châtellerault	O	Châtellerault	Vienne	"46.8185340162,0.54951136026"
Grand-Pont-Preuilly	O	Chasseneuil-du-Poitou	Vienne	"46.6345727721,0.359880018826"
Couhé-Vérac	N	Ceaux-en-Couhé	Vienne	"46.3067951273,0.244912133504"
St-Saviol	O	St-Saviol	Vienne	"46.1470185907,0.217824636094"
Chinon	O	Chinon	Indre-et-Loire	"47.1622255013,0.250971131711"
Nouatre-Maillé	N	Maillé	Indre-et-Loire	"47.0446335637,0.56460990392"
Port-de-Piles	O	Port-de-Piles	Indre-et-Loire	"47.0102620536,0.598667852362"
Loudun	N	Loudun	Vienne	"47.0161529253,0.0829285920393"
Le Bouchet	N	La Roche-Rigault	Vienne	"46.9687290074,0.173178832141"
Aiffres	N	Aiffres	Deux-Sèvres	"46.2823369494,-0.421447527021"
Sireuil	N	Sireuil	Charente	"45.6041729759,0.0216615737885"
St-Michel-sur-Charente	O	St-Michel	Charente	"45.6442701532,0.110778780998"
Ludon	O	Ludon-Médoc	Gironde	"44.974324082,-0.611768523371"
Moulis-Listrac	O	Moulis-en-Médoc	Gironde	"45.0839801406,-0.744670506309"
Bruges	O	Bruges	Gironde	"44.8859460933,-0.608935358807"
Ravezies	O	Bordeaux	Gironde	"44.8663571133,-0.576875469378"
Arlac	O	Mérignac	Gironde	"44.826770833,-0.626243316583"
Limoges-Bénédictins	O	Limoges	Haute-Vienne	"45.837914801,1.26949792998"
Magnac-Vicq	O	Vicq-sur-Breuilh	Haute-Vienne	"45.6297014272,1.44339118414"
Reuilly (Indre)	O	Reuilly	Indre	"47.089809978,2.04695330602"
Ste-Lizaigne	O	Ste-Lizaigne	Indre	"47.0066454807,2.03148737766"
Issoudun	O	Issoudun	Indre	"46.9521777057,1.98760064938"
Neuvy-Pailloux	O	Neuvy-Pailloux	Indre	"46.8847713757,1.86624036711"
Châteauroux	O	Châteauroux	Indre	"46.8110634658,1.70343176299"
Luant	O	Luant	Indre	"46.7382296437,1.59151029964"
Celon	N	Celon	Indre	"46.5191135454,1.50658560471"
Lamotte-Beuvron	O	Lamotte-Beuvron	Loir-et-Cher	"47.5959880329,2.02174520903"
Gignac-Cressensac	O	Gignac	Lot	"45.0149050719,1.48281764146"
Gourdon	O	Gourdon	Lot	"44.7417369292,1.38948555122"
St-Denis-Catus	N	St-Denis-Catus	Lot	"44.5604833946,1.3856489151"
Albias	O	Albias	Tarn-et-Garonne	"44.0914989017,1.44411665746"
Chenonceaux-Chisseaux	O	Chenonceaux	Indre-et-Loire	"47.3307061221,1.06555867131"
Chissay-en-Touraine	O	Chissay-en-Touraine	Loir-et-Cher	"47.3349554614,1.1336838784"
Palluau-St-Genou	N	Palluau-sur-Indre	Indre	"46.9286999649,1.32752581021"
Veigné	O	Veigné	Indre-et-Loire	"47.2915030697,0.734442350639"
Esvres	O	Esvres	Indre-et-Loire	"47.2841218777,0.781573759638"
Courçay-Tauxigny	O	Courçay	Indre-et-Loire	"47.2378332711,0.867626447207"
Abilly	N	Abilly	Indre-et-Loire	"46.9384503387,0.724565159535"
La Gauterie	O	Veuil	Indre	"47.1398196206,1.49160048264"
Selles-St-Denis	O	Selles-St-Denis	Loir-et-Cher	"47.3885000442,1.92242054493"
Gièvres	O	Gièvres	Loir-et-Cher	"47.2788924298,1.66813604037"
Lussac-les-Châteaux	O	Lussac-les-Châteaux	Vienne	"46.4052330475,0.718570247831"
Lathus	O	Lathus-St-Rémy	Vienne	"46.3381028912,0.965037395105"
Peyrilhac-St-Jouvent	O	Peyrilhac	Haute-Vienne	"45.9597661224,1.17007303126"
Limoges-Bénédictins	O	Limoges	Haute-Vienne	"45.837914801,1.26949792998"
Roumazières-Loubert	O	Roumazières-Loubert	Charente	"45.8893539701,0.578810931405"
Roumazières-Loubert	O	Roumazières-Loubert	Charente	"45.8893539701,0.578810931405"
Limoges-Montjovis	O	Limoges	Haute-Vienne	"45.8384375809,1.25159677564"
La Rivière-de-Mansac	O	Mansac	Corrèze	"45.139675183,1.36543829618"
La Cave	O	Marsac-sur-l'Isle	Dordogne	"45.1838674339,0.627743100199"
Périgueux-St-Georges	O	Périgueux	Dordogne	"45.1783264288,0.733658993606"
St-Pierre-de-Chignac	O	Ste-Marie-de-Chignac	Dordogne	"45.1234710431,0.857080600442"
Vélines	O	Vélines	Dordogne	"44.851934557,0.103698508992"
St-Antoine-de-Breuilh	O	St-Antoine-de-Breuilh	Dordogne	"44.8466942198,0.151863918401"
Couze	O	Lalinde	Dordogne	"44.836411388,0.703980134004"
Le Buisson	O	Le Buisson-de-Cadouin	Dordogne	"44.8470490878,0.90827093252"
St-Émilion	O	St-Émilion	Gironde	"44.8811213521,-0.159157371976"
Les Eyzies	O	Les Eyzies-de-Tayac-Sireuil	Dordogne	"44.9411322964,1.00825041086"
Siorac-en-Périgord	O	Siorac-en-Périgord	Dordogne	"44.8197461748,0.98442912046"
St-Front-sur-Lémance	N	St-Front-sur-Lémance	Lot-et-Garonne	"44.5742443426,0.972705553185"
Penne (Lot-et-Garonne)	O	Penne-d'Agenais	Lot-et-Garonne	"44.379894342,0.802760749142"
Monsempron-Libos	O	Nicole	Lot-et-Garonne	"44.4881115045,0.943445224663"
Fumel	N	Fumel	Lot-et-Garonne	"44.4957170019,0.969063925052"
Penne (Lot-et-Garonne)	O	Penne-d'Agenais	Lot-et-Garonne	"44.379894342,0.802760749142"
Trèbes	N	Trèbes	Aude	"43.2056013521,2.4344404591"
St-Médard-d'Eyrans	O	St-Médard-d'Eyrans	Gironde	"44.7156842823,-0.504315934584"
Bègles	O	Bègles	Gironde	"44.7994219623,-0.555217040884"
St-Macaire	O	St-Macaire	Gironde	"44.5685075261,-0.226970506309"
Castelnau-d'Estrétefonds	O	Castelnau-d'Estrétefonds	Haute-Garonne	"43.7869958238,1.34079350146"
Route-de-Launaguet	O	Toulouse	Haute-Garonne	"43.6343062105,1.43953044077"
Escalquens	O	Escalquens	Haute-Garonne	"43.5167726668,1.54248928021"
Avignonet	O	Avignonet-Lauragais	Haute-Garonne	"43.3635418357,1.78830005991"
Béziers	O	Béziers	Hérault	"43.3360511894,3.21931516432"
Agde	O	Agde	Hérault	"43.3174870593,3.46668178376"
Port-Ste-Marie	O	Port-Ste-Marie	Lot-et-Garonne	"44.2504645141,0.38854571686"
St-Nicolas-St-Romain	O	St-Romain-le-Noble	Lot-et-Garonne	"44.1475788399,0.760770404622"
Lamagistère	O	Lamagistère	Tarn-et-Garonne	"44.126769875,0.825638491338"
Moissac	O	Moissac	Tarn-et-Garonne	"44.1024114893,1.0773874025"
Castelsarrasin	O	Castelsarrasin	Tarn-et-Garonne	"44.0403771685,1.11461345795"
Marmande	O	Marmande	Lot-et-Garonne	"44.5032030958,0.168080472896"
Nogaro	N	Nogaro	Gers	"43.759354876,-0.0285381941664"
Voyenne	O	Voyenne	Aisne	"49.7262306919,3.72066394881"
Ormoy-Villers	O	Ormoy-Villers	Oise	"49.2003098556,2.83727019693"
Crépy-en-Valois	O	Crépy-en-Valois	Oise	"49.2311545883,2.88840774737"
Crépy-en-Valois	O	Crépy-en-Valois	Oise	"49.2311545883,2.88840774737"
Ormoy-Villers	O	Ormoy-Villers	Oise	"49.2003098556,2.83727019693"
Duvy	N	Duvy	Oise	"49.2333828693,2.85814085125"
Wacquemoulin	O	Wacquemoulin	Oise	"49.5028908524,2.6116697308"
Moreuil	O	Moreuil	Somme	"49.7770922766,2.47545354224"
Longueau	O	Longueau	Somme	"49.8637887546,2.35217507429"
Villers-Cotterêts	O	Villers-Cotterêts	Aisne	"49.2383422164,3.09930750038"
Anizy-Pinon	O	Pinon	Aisne	"49.4958664567,3.44868450621"
Mennessis	O	Mennessis	Aisne	"49.6921765571,3.27023536527"
Essigny-le-Grand	N	Essigny-le-Grand	Aisne	"49.7808121017,3.26192734344"
Essigny-le-Petit	N	Essigny-le-Petit	Aisne	"49.8975810292,3.36655933024"
Recquignies	O	Recquignies	Nord	"50.284033495,4.04441459333"
Jeumont	O	Jeumont	Nord	"50.2963190921,4.08685677938"
Creil	O	Creil	Oise	"49.264336965,2.46933851337"
Villers-St-Paul	O	Villers-St-Paul	Oise	"49.2825756778,2.48963226877"
Rieux-Angicourt	O	Rieux	Oise	"49.2978136929,2.51977971105"
Origny-Ste-Benoite	N	Origny-Ste-Benoite	Aisne	"49.8386959172,3.48576639517"
Longueil-Ste-Marie	O	Longueil-Ste-Marie	Oise	"49.3425670103,2.71758739058"
Roye (Somme)	N	Roye	Somme	"49.7050029022,2.78655272516"
Busigny	O	Busigny	Nord	"50.0396498849,3.44591119238"
Martigné-Ferchaud	O	Martigné-Ferchaud	Ille-et-Vilaine	"47.8319891318,-1.31346436819"
Le Theil-de-Bretagne	O	Le Theil-de-Bretagne	Ille-et-Vilaine	"47.9187278424,-1.43215498692"
Corps-Nuds	O	Corps-Nuds	Ille-et-Vilaine	"47.9851600081,-1.57534524416"
St-Armel	O	St-Armel	Ille-et-Vilaine	"48.0141604704,-1.59485477498"
La Poterie	O	Rennes	Ille-et-Vilaine	"48.0919876617,-1.63058409537"
Châteaubriant	O	Châteaubriant	Loire-Atlantique	"47.7170119484,-1.37139914583"
St-Jacques-de-la-Lande	O	St-Jacques-de-la-Lande	Ille-et-Vilaine	"48.0675727196,-1.71374486748"
Ker-Lann-Bruz	O	Bruz	Ille-et-Vilaine	"48.043372243,-1.7393119185"
Bruz	O	Bruz	Ille-et-Vilaine	"48.0287387304,-1.7518631268"
St-Senoux-Pléchâtel	O	St-Senoux	Ille-et-Vilaine	"47.8978774899,-1.76613533074"
Fougeray-Langon	O	Langon	Ille-et-Vilaine	"47.7298132071,-1.85113562123"
Massérac	O	Massérac	Loire-Atlantique	"47.6746637778,-1.9138730686"
Rosporden	O	Rosporden	Finistère	"47.9604327568,-3.83243957979"
Savenay	O	Savenay	Loire-Atlantique	"47.3583982415,-1.95107747612"
Drefféac	O	Drefféac	Loire-Atlantique	"47.4822665995,-2.04999613255"
Landévant	O	Landévant	Morbihan	"47.759518109,-3.12563849149"
Lorient	O	Lorient	Morbihan	"47.7551211415,-3.3662896238"
La Brohinière	O	Montauban-de-Bretagne	Ille-et-Vilaine	"48.2134688312,-2.11047793058"
Mauron	N	Mauron	Morbihan	"48.0831392705,-2.27340431422"
Plouharnel-Carnac	O	Plouharnel	Morbihan	"47.604321433,-3.11838614214"
St-Nicolas-des-Eaux	N	Pluméliau	Morbihan	"47.9826767946,-3.04103090403"
St-Julien (Côtes-d'Armor)	O	St-Julien	Côte-d'Armor	"48.452056172,-2.81349586475"
Le Pas	O	St-Brandan	Côte-d'Armor	"48.3663885816,-2.87741333754"
St-Gérand	N	St-Gérand	Morbihan	"48.1165356341,-2.88239277703"
Les Mais	O	Callac	Côte-d'Armor	"48.426240662,-3.38281924375"
Carnoët-Locarn	O	Locarn	Côte-d'Armor	"48.340398963,-3.49051938108"
Paimpol	O	Paimpol	Côte-d'Armor	"48.7766351457,-3.04602046813"
Villeneuve-la-Comtesse	O	Villeneuve-la-Comtesse	Charente-Maritime	"46.0987148824,-0.513011750618"
St-Hilaire-Brizambourg	O	St-Hilaire-de-Villefranche	Charente-Maritime	"45.8501639464,-0.534862134611"
Le Douhet-Écoyeux	N	Le Douhet	Charente-Maritime	"45.8135639438,-0.559544831695"
Saintes	O	Saintes	Charente-Maritime	"45.7478403558,-0.617587884553"
Pons	O	Pons	Charente-Maritime	"45.5781362066,-0.538959333551"
Clion-sur-Seugne	O	Clion	Charente-Maritime	"45.4785142943,-0.50213220187"
Fontaines-d'Ozillac	O	Fontaines-d'Ozillac	Charente-Maritime	"45.388325248,-0.384150518607"
Montendre	O	Montendre	Charente-Maritime	"45.2805461674,-0.396140373861"
Thouars	O	Thouars	Deux-Sèvres	"46.9849834522,-0.207430287849"
Fors	O	Fors	Deux-Sèvres	"46.2342295509,-0.406650762287"
Beauvoir-sur-Niort	O	Beauvoir-sur-Niort	Deux-Sèvres	"46.1767965483,-0.468682877634"
St-Mariens-St-Yzan	O	St-Yzan-de-Soudiac	Gironde	"45.139257314,-0.391511404382"
Cavignac	O	Cavignac	Gironde	"45.1052937713,-0.382088543696"
Aubie-St-Antoine	O	Aubie-et-Espessas	Gironde	"45.0153887607,-0.419620774157"
Boursay-St-Agil	N	Boursay	Loir-et-Cher	"48.0195257549,0.964049959792"
Chacé-Varrains	N	Chacé	Maine-et-Loire	"47.2178015288,-0.0680822189734"
Brézé-St-Cyr-en-Bourg	N	Brézé	Maine-et-Loire	"47.1862428254,-0.0577554643727"
La Chartre-sur-le-Loir	N	La Chartre-sur-le-Loir	Sarthe	"47.7406083605,0.581929079935"
Château-du-Loir	O	Château-du-Loir	Sarthe	"47.6831493434,0.414969556511"
La Chapelle-du-Chêne	N	Vion	Sarthe	"47.8121242154,-0.28048644189"
Nantes-État	N	Nantes	Loire-Atlantique	"47.2040907265,-1.55839265241"
Tours	O	Tours	Indre-et-Loire	"47.387920661,0.695556792672"
Ancenis	O	Ancenis	Loire-Atlantique	"47.369472789,-1.17777313682"
Oudon	O	Oudon	Loire-Atlantique	"47.3431984972,-1.29232378287"
Le Cellier	O	Le Cellier	Loire-Atlantique	"47.3131633554,-1.35093010062"
Thouaré	O	Thouaré-sur-Loire	Loire-Atlantique	"47.2650869831,-1.44104106677"
La Basse-Indre-St-Herblain	O	St-Herblain	Loire-Atlantique	"47.2041867411,-1.66023470611"
Donges	O	Donges	Loire-Atlantique	"47.3087325018,-2.07162432676"
Montoir-de-Bretagne	O	Montoir-de-Bretagne	Loire-Atlantique	"47.320740626,-2.16160126695"
La Ménitré	O	La Ménitré	Maine-et-Loire	"47.3973038521,-0.27598299898"
Savennières-Béhuard	O	Savennières	Maine-et-Loire	"47.3815249943,-0.654527294411"
Champtocé-sur-Loire	O	Champtocé-sur-Loire	Maine-et-Loire	"47.4103414306,-0.870480107023"
St-Nazaire	O	St-Nazaire	Loire-Atlantique	"47.2867636395,-2.2113247996"
La Baule-les-Pins	O	La Baule-Escoublac	Loire-Atlantique	"47.2837063257,-2.36482251221"
Le Pouliguen	O	Le Pouliguen	Loire-Atlantique	"47.2826243766,-2.43322744866"
Haluchère	O	Nantes	Loire-Atlantique	"47.2491474555,-1.5225453753"
Issé	N	Issé	Loire-Atlantique	"47.6268389319,-1.45103277514"
Niort	O	Niort	Deux-Sèvres	"46.3189848174,-0.454669887696"
Maulévrier	N	Maulévrier	Maine-et-Loire	"47.0135967689,-0.757531409753"
Chinon	O	Chinon	Indre-et-Loire	"47.1622255013,0.250971131711"
Ballan	O	Joué-lès-Tours	Indre-et-Loire	"47.3358329656,0.614643299019"
St-Mesmin-le-Vieux	O	St-Mesmin	Vendée	"46.7903688883,-0.732143434449"
Les Clouzeaux	O	Venansault	Vendée	"46.6381234764,-1.53256074855"
Pouzauges	O	La Meilleraie-Tillay	Vendée	"46.7525104447,-0.814155697064"
Loudun	N	Loudun	Vienne	"47.0161529253,0.0829285920393"
Chantonnay	O	Chantonnay	Vendée	"46.6899942578,-1.05462702633"
St-Christophe-du-Bois	N	St-Christophe-du-Bois	Maine-et-Loire	"47.0306844338,-0.939597558396"
La Rochelle-Ville	O	La Rochelle	Charente-Maritime	"46.1525160774,-1.14516012344"
Bords	O	Bords	Charente-Maritime	"45.8944254626,-0.798547001142"
Nantes	O	Nantes	Loire-Atlantique	"47.2164535013,-1.54423027495"
Rosporden	O	Rosporden	Finistère	"47.9604327568,-3.83243957979"
Concarneau	N	Concarneau	Finistère	"47.8777538215,-3.92065348738"
Guingamp	O	Guingamp	Côte-d'Armor	"48.5555105751,-3.14327230212"
Coat-Guégan	O	Pont-Melvez	Côte-d'Armor	"48.4804253291,-3.27368707705"
Trégonneau-Squiffiec	O	Squiffiec	Côte-d'Armor	"48.6245760449,-3.17411515827"
Aiffres	N	Aiffres	Deux-Sèvres	"46.2823369494,-0.421447527021"
Bailleau-le-Pin	O	Bailleau-le-Pin	Eure-et-Loir	"48.3668636985,1.32483874337"
Arrou	O	Arrou	Eure-et-Loir	"48.0999095123,1.1286441993"
Lucé	O	Lucé	Eure-et-Loir	"48.4367047184,1.4530178409"
Gauriaguet	O	Gauriaguet	Gironde	"45.054522893,-0.399167472607"
St-André-de-Cubzac	O	St-André-de-Cubzac	Gironde	"44.9909967167,-0.439993851253"
Nantilly-Saumur	N	Saumur	Maine-et-Loire	"47.2372761555,-0.0729424334864"
Montreuil-Bellay	O	Montreuil-Bellay	Maine-et-Loire	"47.1255282361,-0.147903651468"
Longué	N	Longué-Jumelles	Maine-et-Loire	"47.3868945763,-0.113931794557"
St-Patrice	O	St-Patrice	Indre-et-Loire	"47.2855289086,0.309739374703"
Varades-St-Florent-le-Vieil	O	Varades	Loire-Atlantique	"47.3744046596,-1.01975719048"
Mauves-sur-Loire	O	Mauves-sur-Loire	Loire-Atlantique	"47.2928631549,-1.38912361016"
Nantes	O	Nantes	Loire-Atlantique	"47.2164535013,-1.54423027495"
Chantenay	O	Nantes	Loire-Atlantique	"47.1970064457,-1.5949172528"
St-Nazaire	O	St-Nazaire	Loire-Atlantique	"47.2867636395,-2.2113247996"
Les Rosiers-sur-Loire	O	Les Rosiers-sur-Loire	Maine-et-Loire	"47.3623235938,-0.220176788686"
La Baule-Escoublac	O	La Baule-Escoublac	Loire-Atlantique	"47.2886981301,-2.38925997819"
Montreuil-Belfroi	N	Montreuil-Juigné	Maine-et-Loire	"47.5254033311,-0.617520099341"
Chemillé	O	Chemillé	Maine-et-Loire	"47.2178311412,-0.73211359671"
Ayron-Latillé	N	Ayron	Vienne	"46.6634383378,0.0764032359342"
Chalandray	N	Chalandray	Vienne	"46.6645045558,-0.00279790939648"
Cerizay	O	Cerizay	Deux-Sèvres	"46.8173477246,-0.667128980285"
Luché	N	Luché-Thouarsais	Deux-Sèvres	"46.9079375337,-0.315248192422"
La Mothe-Achard	O	La Mothe-Achard	Vendée	"46.606836768,-1.65803067736"
Torfou	O	Torfou	Maine-et-Loire	"47.0330156025,-1.11702206511"
St-Martin-de-Fraigneau	N	St-Martin-de-Fraigneau	Vendée	"46.4357808791,-0.738067307993"
Dompierre-sur-Mer	N	Dompierre-sur-Mer	Charente-Maritime	"46.1748515265,-1.06718507825"
Aytré-Plage	O	Aytré	Charente-Maritime	"46.1276382387,-1.12849051093"
St-Savinien-sur-Charente	O	St-Savinien	Charente-Maritime	"45.8758187503,-0.677700531145"
Saintes	O	Saintes	Charente-Maritime	"45.7478403558,-0.617587884553"
Montaigu-Vendée	O	Montaigu	Vendée	"46.9837639128,-1.31639690895"
Belleville-Vendée	O	Belleville-sur-Vie	Vendée	"46.7883226619,-1.43460994975"
Champ-St-Père	N	Le Champ-St-Père	Vendée	"46.5133382931,-1.34171802608"
Nantes-État	N	Nantes	Loire-Atlantique	"47.2040907265,-1.55839265241"
Rezé-Pont-Rousseau	O	Rezé	Loire-Atlantique	"47.1933346701,-1.54949248253"
Ste-Pazanne	O	Ste-Pazanne	Loire-Atlantique	"47.102436868,-1.81787517251"
St-Gilles-Croix-de-Vie	O	St-Gilles-Croix-de-Vie	Vendée	"46.6964917855,-1.9416096081"
La Bernerie	O	La Bernerie-en-Retz	Loire-Atlantique	"47.0831558353,-2.03374637992"
St-Hilaire-de-Chaléons	O	St-Hilaire-de-Chaléons	Loire-Atlantique	"47.1063263418,-1.86692866169"
La Feuillardais-Vue	N	Arthon-en-Retz	Loire-Atlantique	"47.1701817494,-1.94071440967"
St-Maixent (Deux-Sèvres)	O	St-Martin-de-St-Maixent	Deux-Sèvres	"46.4064903428,-0.201124480016"
Niort	O	Niort	Deux-Sèvres	"46.3189848174,-0.454669887696"
Épannes	O	Frontenay-Rohan-Rohan	Deux-Sèvres	"46.2445649271,-0.582235152911"
La Rochelle-Pallice	N	La Rochelle	Charente-Maritime	"46.1598994438,-1.22160539525"
Saintes	O	Saintes	Charente-Maritime	"45.7478403558,-0.617587884553"
Pisany	N	Thézac	Charente-Maritime	"45.6954601709,-0.786072221232"
Royan	O	Royan	Charente-Maritime	"45.6257256048,-1.0163681946"
Saujon	O	Saujon	Charente-Maritime	"45.6669603985,-0.930419852089"
Arpajon (Essonne)	O	Arpajon	Essonne	"48.5860305368,2.24099110758"
Bonneval	O	Bonneval	Eure-et-Loir	"48.1862426363,1.38614960738"
Allonnes-Boisville	N	Boisville-la-St-Père	Eure-et-Loir	"48.3223337218,1.66870142775"
Notre-Dame-d'Oé	O	Notre-Dame-d'Oé	Indre-et-Loire	"47.4596179159,0.706973269642"
Pezou	O	Pezou	Loir-et-Cher	"47.8673597486,1.14101362215"
Vendôme	O	Vendôme	Loir-et-Cher	"47.802659905,1.07144326189"
Coltainville	N	Coltainville	Eure-et-Loir	"48.4894018849,1.58254024951"
Beaulieu-Le Coudray	N	Sours	Eure-et-Loir	"48.4258372696,1.51492370057"
Villeneuve-d'Ingré	N	Ingré	Loiret	"47.9344519883,1.83485496973"
Châteaudun	O			"48.073183805,1.33837909565"
Montoire-sur-le-Loir	N	Montoire-sur-le-Loir	Loir-et-Cher	"47.7580657436,0.86981095637"
La Chapelle-Vendômoise	N	La Chapelle-Vendômoise	Loir-et-Cher	"47.6730288568,1.24381459694"
Fossé-Marolles	N	Marolles	Loir-et-Cher	"47.6380481163,1.29269595702"
Neuillé-Pont-Pierre	O	Neuillé-Pont-Pierre	Indre-et-Loire	"47.5580150031,0.564910289721"
St-Paterne	O	St-Paterne-Racan	Indre-et-Loire	"47.6041520664,0.478341245048"
Aubigné-Racan	O	Aubigné-Racan	Sarthe	"47.6870108859,0.265947876601"
Tours	O	Tours	Indre-et-Loire	"47.387920661,0.695556792672"
Luxé	O	Luxé	Charente	"45.8872955848,0.109284793882"
Mouthiers (Charente)	N	Mouthiers-sur-Boëme	Charente	"45.5535077413,0.122404968621"
Parcoul-Médillac	N	Médillac	Charente	"45.2213641497,0.024284494235"
St-Michel-sur-Orge	O	St-Michel-sur-Orge	Essonne	"48.6355505722,2.30685097789"
Marolles-en-Hurepoix	O	Marolles-en-Hurepoix	Essonne	"48.5650907427,2.29103800856"
Chamarande	O	Chamarande	Essonne	"48.5143170686,2.21572360766"
Étampes	O	Étampes	Essonne	"48.4366628151,2.15900344742"
Guillerval	O	Guillerval	Essonne	"48.3742726481,2.05968345166"
St-Sulpice-Izon	O	St-Sulpice-et-Cameyrac	Gironde	"44.9141229424,-0.391144961793"
Bassens-Appontements	N	Bassens	Gironde	"44.8998558668,-0.522540969313"
Artenay (Loiret)	O	Artenay	Loiret	"48.080732429,1.88335915345"
Cercottes	O	Cercottes	Loiret	"47.9865551206,1.88469720466"
Les Aubrais-Orléans	O	Fleury-les-Aubrais	Loiret	"47.9269144568,1.90630935656"
Beaugency	O	Beaugency	Loiret	"47.7784860955,1.62590656598"
Chouzy	O	Chouzy-sur-Cisse	Loir-et-Cher	"47.5203213781,1.24785732206"
Paris-Austerlitz	O	Paris-13	Paris	"48.8404952146,2.36703763988"
Dangé	O	Dangé-St-Romain	Vienne	"46.9378761357,0.608810660539"
La Tricherie	O	Beaumont	Vienne	"46.7286537263,0.44061323745"
Chasseneuil (Vienne)	O	Chasseneuil-du-Poitou	Vienne	"46.6519170166,0.372900773475"
Trogues	N	Trogues	Indre-et-Loire	"47.1121084709,0.494377239871"
Cavignac	O	Cavignac	Gironde	"45.1052937713,-0.382088543696"
La Chapelle-d'Ambès	N	Ambès	Gironde	"45.00496339,-0.548422829826"
Ravezies	O	Le Bouscat	Gironde	"44.8663571133,-0.576875469378"
Macau	O	Macau	Gironde	"45.0040419285,-0.61990974017"
Soulac-sur-Mer	O	Soulac-sur-Mer	Gironde	"45.5079699726,-1.11739148967"
Le Verdon	O	Le Verdon-sur-Mer	Gironde	"45.5492476574,-1.06488669635"
Vierzon-Ville	O	Vierzon	Cher	"47.2282131577,2.05511588413"
Uzerche	O	Uzerche	Corrèze	"45.4416073884,1.57064679296"
Forgevieille	N	St-Germain-Beaupré	Creuse	"46.3275827853,1.53085229296"
La Souterraine	O	La Souterraine	Creuse	"46.2419123101,1.49054785353"
Verdun	O	Verdun	Meuse	"49.1655130129,5.37875556876"
Étain	O	Étain	Meuse	"49.2075977426,5.63970920546"
Gandrange-Amnéville	O	Amnéville	Moselle	"49.2607931817,6.13528892669"
Lérouville	N	Lérouville	Meuse	"48.7970669601,5.53868264124"
Metz-n° 2	N	Montigny-lès-Metz	Moselle	"49.0950077797,6.14243386323"
Metz-Ville	O	Metz	Moselle	"49.1089891146,6.17744283808"
Pompey	O	Pompey	Meurthe-et-Moselle	"48.7732068845,6.13083777088"
Longuyon	O	Longuyon	Meurthe-et-Moselle	"49.4444450441,5.60471100396"
Sarrebourg	O	Sarrebourg	Moselle	"48.7386214982,7.05172753911"
Gresswiller	O	Gresswiller	Bas-Rhin	"48.5331858849,7.4244239293"
Lutzelhouse	O	Muhlbach-sur-Bruche	Bas-Rhin	"48.5180740446,7.29417930843"
Holtzheim	O	Holtzheim	Bas-Rhin	"48.5555613863,7.66315841324"
Sélestat	O	Sélestat	Bas-Rhin	"48.2606544214,7.44244142489"
Molsheim	O	Molsheim	Bas-Rhin	"48.5374686282,7.50011758857"
Dambach-la-Ville	O	Dambach-la-Ville	Bas-Rhin	"48.3215867313,7.43582504927"
Fegersheim-Lipsheim	O	Lipsheim	Bas-Rhin	"48.4908062716,7.67232856446"
Matzenheim	O	Matzenheim	Bas-Rhin	"48.3988336623,7.61947499134"
Lutterbach (Haut-Rhin)	O	Lutterbach	Haut-Rhin	"47.7581016929,7.27698261429"
Rouffach	O	Rouffach	Haut-Rhin	"47.9602013201,7.31264737041"
Bollwiller	O	Bollwiller	Haut-Rhin	"47.8566331056,7.2674896613"
Wittelsheim	O	Wittelsheim	Haut-Rhin	"47.8168556502,7.26428527769"
Munster-Badischhof	O	Munster	Haut-Rhin	"48.0390819302,7.15297248831"
Luttenbach-près-Munster	O	Luttenbach-près-Munster	Haut-Rhin	"48.0353064714,7.11884420235"
Muhlbach-sur-Munster	O	Muhlbach-sur-Munster	Haut-Rhin	"48.024487314,7.08763608299"
Soultz (Haut-Rhin)	N	Soultz-Haut-Rhin	Haut-Rhin	"47.889339101,7.23237478616"
Guebwiller	N	Guebwiller	Haut-Rhin	"47.906830574,7.21779525387"
Colmar	O	Colmar	Haut-Rhin	"48.0731722815,7.34694339731"
Lutterbach (Haut-Rhin)	O	Lutterbach	Haut-Rhin	"47.7581016929,7.27698261429"
Vieux-Thann	O	Vieux-Thann	Haut-Rhin	"47.8053145306,7.1205613968"
Thann	O	Thann	Haut-Rhin	"47.8090515155,7.1069688826"
Willer-sur-Thur	O	Willer-sur-Thur	Haut-Rhin	"47.8428517157,7.06907793543"
